id,first_name,last_name,email,salary,position,date_started,gender_id,top_size_id
1,Katharina,Woodwind,1kwoodwind0@uol.com.br,"$97,930.02",Research Associate,2021-10-29,1,1
2,Floria,Iseton,fiseton11@prnewswire.com,"$91,738.68",Librarian,2015-11-14,1,2
3,Truman,Milburne,tm1ilburne2@archive.org,"$147,184.32",Nurse,2012-01-16,2,3
4,Thaddus,Sante,tsa1nte3@weebly.com,"$115,198.75",Civil Engineer,2017-11-09,3,4
5,Stanislas,Sommerling,sso1mmerling4@cnbc.com,"$92,201.48",Chemical Engineer,2015-10-05,3,3
6,Archaimbaud,Domeney,ad1omeney5@wordpress.org,"$111,650.91",Recruiting Manager,2019-02-18,4,2
7,Louie,Castleton,lcastleton6@themeforest.net,"$129,065.76",Sales Representative,2020-06-06,3,5
8,Flem,McCann,fm1ccann7@cnbc.com,"$51,175.59",Computer Systems Analyst III,2018-02-21,3,6
9,Rafaela,Kyrkeman,rkyrk2eman8@creativecommons.org,"$66,094.92",Recruiting Manager,2015-04-06,1,7
10,Barn,Domegan,bdome2gan9@gmpg.org,"$54,459.35",Automation Specialist IV,2013-12-03,3,5
11,Brnaby,Bertwistle,bbert2wistlea@booking.com,"$40,449.23",Biostatistician II,2014-09-10,5,4
12,Karlyn,Halsall,khalsallb@wisc.edu,"$105,395.73",Structural Engineer,2023-08-13,4,6
13,Othilia,Ardron,oardronc@desdev.cn,"$134,023.47",General Manager,2022-11-05,1,4
14,Constancy,Halse,chalsed@diigo.com,"$38,182.48",Senior Financial Analyst,2024-05-26,1,2
15,Aguste,Tome,atomee@qq.com,"$94,760.98",Teacher,2017-06-23,3,7
16,Griffy,Beades,gbeadesf@51.la,"$141,548.96",Junior Executive,2015-10-01,6,5
17,Carolan,Haxbie,chaxbieg@spiegel.de,"$103,328.52",Assistant Media Planner,2020-08-19,1,4
18,Reeva,Couvert,rcouverth@wikimedia.org,"$40,914.29",Senior Editor,2022-09-16,1,5
19,Jacques,Lappin,jlappini@meetup.com,"$86,332.74",Operator,2021-12-20,6,1
20,Arly,Oki,aokij@jigsy.com,"$102,562.51",Data Coordinator,2024-01-26,1,6
21,Salomo,Oatley,soatleyk@forbes.com,"$42,712.10",Quality Control Specialist,2012-04-30,3,5
22,Mahmud,Flaxman,mflaxmanl@nyu.edu,"$75,423.44",Account Representative IV,2018-03-21,3,6
23,Merrielle,Klammt,mklammtm@rakuten.co.jp,"$54,112.66",Quality Control Specialist,2021-06-11,1,2
